symbol,id,name,issueDate,quantityIssued,parValue,issuedPrice,lastTradedPrice,wtdHiPrice,mtdHiPrice,ytdHiPrice,p12HiPrice,allHiPrice,allLowPrice,wtdLowPrice,mtdLowPrice,ytdLowPrice,p12LowPrice,tdyShareVolume,wdyShareVolume,mtdShareVolume,ytdShareVolume,p12ShareVolume,tdyTradeVolume,wtdTradeVolume,mtdTradeVolume,ytdTradeVolume,p12TradeVolume,tdyTurnover,wtdTurnover,mtdTurnover,ytdTurnover,p12Turnover,previousClose,foreignHoldings,foreignPercentage,instrumentsDate,hiTrade,lowTrade,closingPrice,marketCap,marketCapPercentage,change,changePercentage,symbolIndexShareVolume,isin,logo_id,logo_path,beta_securityId,beta_triASIBetaValue,beta_betaValueSPSL,beta_triASIBetaPeriod,beta_quarter
ABAN.N0000,204,ABANS ELECTRICALS PLC,01/JAN/1984,5110560.0,1.0,,1118.25,1297.75,1297.75,1625.0,1625.0,1625.0,8.75,1190.0,1180.0,350.0,320.0,10120,992,11798,1051905,1133555,303,,,,,11408146.0,1194925.0,14819666.0,685781570.0,,1195.0,,,,1250.0,1099.75,1118.25,5714883720.0,0.07309796,-76.75,-6.422594142259414,5110560.0,LK0001N00004,2232.0,upload_logo/642_1603172106.jpeg,642,1.4975649,0.8690101,2025,1.0
AFSL.N0000,1845,ABANS FINANCE PLC,27/JUN/2011,73693171.0,1.0,,69.4,69.1,80.0,100.0,100.0,116.2,12.0,65.0,65.0,37.1,25.5,7016,22364,47280,2060376,2719211,26,,,,,491910.5,1518760.8,3264166.8,140875168.0,,66.1,,,,72.9,68.0,69.4,5114306067.4,0.06541609,3.3,4.992435703479576,73693171.0,LK0388N00005,2141.0,upload_logo/1069_1601609724.jpeg,1069,-0.10091991,-0.27947667,2025,1.0
AEL.N0000,2065,ACCESS ENGINEERING PLC,27/MAR/2012,1000000000.0,1.0,,73.7,73.7,76.0,76.0,76.0,76.0,8.3,71.5,69.7,33.0,29.9,1253889,1542625,19223628,522334382,576887457,611,,,,,91817104.0,112300528.0,1402668160.0,25630978000.0,,72.0,,,,73.9,72.0,73.7,73700000000.0,0.9426823,1.7,2.361111111111111,1000000000.0,LK0409N00009,2142.0,upload_logo/1141_1601609745.jpeg,1141,1.2903138,0.9159836,2025,1.0
ACL.N0000,472,ACL CABLES PLC,01/JAN/1976,239574720.0,1.0,,257.0,245.0,245.0,245.0,245.0,420.0,8.0,240.75,220.25,113.0,100.25,905686,342281,2145882,66929112,76558773,507,,,,,226474176.0,83450904.0,503434848.0,10965092400.0,,244.0,,,,260.25,244.0,257.25,61630596720.0,0.7883049,13.25,5.430327868852459,239574720.0,LK0011N00003,2176.0,upload_logo/644_1601622355.jpeg,644,1.049513,0.5777112,2025,1.0
APLA.N0000,406,ACL PLASTICS PLC,05/APR/1995,4212500.0,1.0,,1639.75,1642.0,1663.0,1950.0,1950.0,1950.0,9.0,1580.0,1550.0,531.0,505.5,7900,204,9552,1218145,1303381,97,,,,,12977094.0,328089.25,15441734.0,1226122620.0,,1616.5,,,,1655.0,1601.0,1639.75,6907446875.0,0.08835181,23.25,1.4382926074853077,4212500.0,LK0238N00002,2177.0,upload_logo/643_1601622375.jpeg,643,0.8990801,0.598203,2025,1.0
ACME.N0000,554,ACME PRINTING & PACKAGING PLC,01/JAN/1956,95000000.0,1.0,,5.9,6.5,6.5,7.4,7.4,201.0,2.3,5.9,5.9,3.9,3.9,207074,41858,176786,75460622,76758644,55,,,,,1227462.6,253079.6,1075880.2,373445632.0,,6.1,,,,6.3,5.9,5.9,560500000.0,0.007169246,-0.2,-3.278688524590164,95000000.0,LK0002N00002,2143.0,upload_logo/661_1601609771.jpeg,661,0.39772728,0.029161412,2025,1.0
AGAL.N0000,163,AGALAWATTE  PLANTATIONS  PLC,22/JAN/1996,156250000.0,1.0,,53.0,51.5,55.5,69.0,69.0,115.0,4.75,49.5,49.0,39.0,39.0,25661,35480,242103,72730068,77816808,76,,,,,1344142.5,1781518.8,12703752.0,3902001920.0,,49.8,,,,53.9,50.2,53.4,8343750000.0,0.10672328,3.6,7.228915662650603,156250000.0,LK0248N00001,2144.0,upload_logo/704_1601609799.jpeg,704,0.72050864,0.5220681,2025,1.0
AGPL.N0000,5753,Agarapatana Plantations PLC,04/SEP/2023,500000000.0,1.0,,19.0,18.8,19.0,24.3,24.3,24.3,6.7,17.3,17.1,10.6,9.9,147793,89009,615187,213599405,279683667,76,,,,,2797305.0,1584897.8,11008138.0,3398312450.0,,18.0,,,,19.2,18.6,19.0,9500000000.0,0.121512644,1.0,5.555555555555555,500000000.0,LK0490N00009,3124.0,upload_logo/uZoIWZANtLhpMSE5_1Sep2023095916GMT_1693562356724.jpeg,3027,0.24648269,0.09016393,2025,
AGST.N0000,2026,AGSTAR PLC,16/FEB/2012,461289465.0,1.0,,9.2,8.9,9.2,10.4,10.4,21.8,3.0,8.6,8.4,6.9,6.9,798273,262985,2892193,223645614,262873261,141,,,,,7236732.0,2290457.0,25386240.0,1969467520.0,,8.7,,,,9.3,8.7,9.2,4243863078.0,0.054282423,0.5,5.747126436781609,461289465.0,LK0408N00001,2145.0,upload_logo/1121_1601609820.jpeg,1121,0.31006494,0.11569987,2025,1.0
AGST.X0000,2035,AGSTAR PLC,16/FEB/2012,26210535.0,1.0,,12.2,12.2,12.6,14.8,14.8,15.0,4.0,11.4,11.0,9.5,9.5,0,1195,18571,2612685,2611490,0,,,,,0.0,14423.0,214612.2,30778138.0,,12.2,,,,,,12.2,319768527.0,0.004090097,0.0,0.0,,LK0408X00000,2145.0,upload_logo/1121_1601609820.jpeg,1121,0.31006494,0.11569987,2025,1.0
AHUN.N0000,144,AITKEN SPENCE HOTEL HOLDINGS PLC,01/JAN/1980,336290010.0,1.0,,106.0,107.0,113.5,128.25,128.25,900.0,5.0,102.0,100.0,73.0,72.4,150561,43037,721933,43347833,47329637,83,,,,,15550030.0,4470211.0,77246424.0,4202311680.0,,104.5,,,,107.0,102.75,106.0,35646741060.0,0.4559505,1.5,1.4354066985645932,336290010.0,LK0003N00000,200.0,upload_logo/521_1192527461.gif,521,-0.03165584,-0.06651954,2025,1.0
SPEN.N0000,343,AITKEN SPENCE PLC,01/JAN/1983,405996045.0,1.0,,146.75,151.0,155.0,175.0,175.0,3500.0,8.5,147.0,147.0,120.0,120.0,7490,12738,310941,44798009,56019216,63,,,,,1098234.5,1903622.5,46602088.0,6844060700.0,,148.0,,,,149.0,145.5,146.75,59579919603.75,0.7620751,-1.25,-0.8445945945945946,405996045.0,LK0004N00008,2147.0,upload_logo/501_1601609954.jpeg,501,0.24648269,0.20412989,2025,1.0
ALLI.N0000,395,ALLIANCE FINANCE COMPANY PLC,01/JAN/1959,33696000.0,1.0,,359.5,366.5,390.0,494.0,494.0,1600.0,23.0,355.0,350.0,156.5,137.75,4822,14727,39037,5845366,6457846,58,,,,,1734425.0,5309200.0,14339116.0,1758910460.0,,360.5,,,,365.0,358.0,359.5,12113712000.0,0.15494412,-1.0,-0.27739251040221913,33696000.0,LK0005N00005,2050.0,upload_logo/341_1601446036.jpeg,341,1.055736,0.34221312,2025,1.0
